V4_1,Data Marking,calendar-years,time,admin-geography,geography,week-number,week,recorded-deaths,deaths
642,,2013,2013,E12000004,East Midlands,week-33,Week 33,total-registered-deaths,Total registered deaths
888,,2011,2011,E12000006,East of England,week-32,Week 32,total-registered-deaths,Total registered deaths
538,,2011,2011,W92000004,Wales,week-28,Week 28,total-registered-deaths,Total registered deaths
1258,,2013,2013,E12000002,North West,week-44,Week 44,total-registered-deaths,Total registered deaths
1121,,2013,2013,E12000003,Yorkshire and The Humber,week-5,Week 05,total-registered-deaths,Total registered deaths
604,,2011,2011,W92000004,Wales,week-43,Week 43,total-registered-deaths,Total registered deaths
521,,2010,2010,E12000001,North East,week-7,Week 07,total-registered-deaths,Total registered deaths
1091,,2011,2011,E12000003,Yorkshire and The Humber,week-4,Week 04,total-registered-deaths,Total registered deaths
1080,,2011,2011,E12000003,Yorkshire and The Humber,week-51,Week 51,total-registered-deaths,Total registered deaths
11151,,2011,2011,K04000001,England and Wales,week-51,Week 51,total-registered-deaths,Total registered deaths
551,,2011,2011,E12000001,North East,week-7,Week 07,total-registered-deaths,Total registered deaths
999,,2011,2011,E12000009,South West,week-9,Week 09,total-registered-deaths,Total registered deaths
1010,,2011,2011,E12000009,South West,week-15,Week 15,total-registered-deaths,Total registered deaths
,x,2019,2019,E12000005,West Midlands,week-53,Week 53,total-registered-deaths,Total registered deaths
888,,2010,2010,E12000003,Yorkshire and The Humber,week-48,Week 48,total-registered-deaths,Total registered deaths
1024,,2010,2010,E12000005,West Midlands,week-6,Week 06,total-registered-deaths,Total registered deaths
790,,2010,2010,E12000004,East Midlands,week-45,Week 45,total-registered-deaths,Total registered deaths
956,,2010,2010,E12000005,West Midlands,week-45,Week 45,total-registered-deaths,Total registered deaths
1302,,2011,2011,E12000002,North West,week-21,Week 21,total-registered-deaths,Total registered deaths
1250,,2011,2011,E12000002,North West,week-52,Week 52,total-registered-deaths,Total registered deaths
960,,2010,2010,E12000007,London,week-10,Week 10,total-registered-deaths,Total registered deaths
981,,2010,2010,E12000007,London,week-14,Week 14,total-registered-deaths,Total registered deaths
1256,,2010,2010,E12000002,North West,week-37,Week 37,total-registered-deaths,Total registered deaths
965,,2010,2010,E12000003,Yorkshire and The Humber,week-12,Week 12,total-registered-deaths,Total registered deaths
924,,2010,2010,E12000009,South West,week-52,Week 52,total-registered-deaths,Total registered deaths
774,,2010,2010,W92000004,Wales,week-3,Week 03,total-registered-deaths,Total registered deaths
511,,2010,2010,W92000004,Wales,week-34,Week 34,total-registered-deaths,Total registered deaths
,x,2018,2018,E12000005,West Midlands,week-53,Week 53,total-registered-deaths,Total registered deaths
749,,2013,2013,W92000004,Wales,week-5,Week 05,total-registered-deaths,Total registered deaths
708,,2013,2013,W92000004,Wales,week-17,Week 17,total-registered-deaths,Total registered deaths
8612,,2011,2011,K04000001,England and Wales,week-37,Week 37,total-registered-deaths,Total registered deaths
556,,2011,2011,E12000001,North East,week-5,Week 05,total-registered-deaths,Total registered deaths
961,,2011,2011,E12000005,West Midlands,week-8,Week 08,total-registered-deaths,Total registered deaths
822,,2011,2011,E12000005,West Midlands,week-31,Week 31,total-registered-deaths,Total registered deaths
1092,,2011,2011,E12000002,North West,week-35,Week 35,total-registered-deaths,Total registered deaths
714,,2011,2011,E12000004,East Midlands,week-16,Week 16,total-registered-deaths,Total registered deaths
1359,,2011,2011,E12000002,North West,week-6,Week 06,total-registered-deaths,Total registered deaths
1310,,2011,2011,E12000002,North West,week-46,Week 46,total-registered-deaths,Total registered deaths
936,,2011,2011,E12000007,London,week-44,Week 44,total-registered-deaths,Total registered deaths
878,,2011,2011,E12000007,London,week-47,Week 47,total-registered-deaths,Total registered deaths
917,,2010,2010,E12000007,London,week-9,Week 09,total-registered-deaths,Total registered deaths
1174,,2010,2010,E12000008,South East,week-13,Week 13,total-registered-deaths,Total registered deaths
843,,2011,2011,E12000007,London,week-27,Week 27,total-registered-deaths,Total registered deaths
801,,2011,2011,E12000007,London,week-30,Week 30,total-registered-deaths,Total registered deaths
850,,2010,2010,E12000004,East Midlands,week-14,Week 14,total-registered-deaths,Total registered deaths
970,,2010,2010,E12000005,West Midlands,week-12,Week 12,total-registered-deaths,Total registered deaths
938,,2010,2010,E12000004,East Midlands,week-4,Week 04,total-registered-deaths,Total registered deaths
660,,2010,2010,E12000004,East Midlands,week-18,Week 18,total-registered-deaths,Total registered deaths
837,,2010,2010,E12000005,West Midlands,week-29,Week 29,total-registered-deaths,Total registered deaths
916,,2010,2010,E12000007,London,week-17,Week 17,total-registered-deaths,Total registered deaths
622,,2010,2010,W92000004,Wales,week-6,Week 06,total-registered-deaths,Total registered deaths
,x,2017,2017,W92000004,Wales,week-53,Week 53,total-registered-deaths,Total registered deaths
8257,,2010,2010,K04000001,England and Wales,week-30,Week 30,total-registered-deaths,Total registered deaths
1097,,2010,2010,E12000003,Yorkshire and The Humber,week-50,Week 50,total-registered-deaths,Total registered deaths
567,,2011,2011,W92000004,Wales,week-40,Week 40,total-registered-deaths,Total registered deaths
394,,2010,2010,E12000001,North East,week-13,Week 13,total-registered-deaths,Total registered deaths
995,,2010,2010,E12000003,Yorkshire and The Humber,week-15,Week 15,total-registered-deaths,Total registered deaths
880,,2010,2010,E12000003,Yorkshire and The Humber,week-16,Week 16,total-registered-deaths,Total registered deaths
851,,2011,2011,E12000005,West Midlands,week-30,Week 30,total-registered-deaths,Total registered deaths
913,,2011,2011,E12000005,West Midlands,week-32,Week 32,total-registered-deaths,Total registered deaths
